asset,combination,entry,holding,exit,selectedInDevelopment,baseline,worstDevelopmentUtility,development_base_netPnlUsd,development_base_feesUsd,development_base_grossReferenceEdgeUsd,development_base_adversePriceCostUsd,development_base_naturalCompletedEpisodes,development_base_terminalSales,development_base_priorClosePeakToDailyLowDrawdownUsd,development_combined_netPnlUsd,development_combined_feesUsd,development_combined_grossReferenceEdgeUsd,development_combined_adversePriceCostUsd,development_combined_naturalCompletedEpisodes,development_combined_terminalSales,development_combined_priorClosePeakToDailyLowDrawdownUsd,later_2025_base_netPnlUsd,later_2025_base_feesUsd,later_2025_base_grossReferenceEdgeUsd,later_2025_base_adversePriceCostUsd,later_2025_base_naturalCompletedEpisodes,later_2025_base_terminalSales,later_2025_base_priorClosePeakToDailyLowDrawdownUsd,later_2025_combined_netPnlUsd,later_2025_combined_feesUsd,later_2025_combined_grossReferenceEdgeUsd,later_2025_combined_adversePriceCostUsd,later_2025_combined_naturalCompletedEpisodes,later_2025_combined_terminalSales,later_2025_combined_priorClosePeakToDailyLowDrawdownUsd,recent_2026_base_netPnlUsd,recent_2026_base_feesUsd,recent_2026_base_grossReferenceEdgeUsd,recent_2026_base_adversePriceCostUsd,recent_2026_base_naturalCompletedEpisodes,recent_2026_base_terminalSales,recent_2026_base_priorClosePeakToDailyLowDrawdownUsd,recent_2026_combined_netPnlUsd,recent_2026_combined_feesUsd,recent_2026_combined_grossReferenceEdgeUsd,recent_2026_combined_adversePriceCostUsd,recent_2026_combined_naturalCompletedEpisodes,recent_2026_combined_terminalSales,recent_2026_combined_priorClosePeakToDailyLowDrawdownUsd,continuous_base_netPnlUsd,continuous_base_feesUsd,continuous_base_grossReferenceEdgeUsd,continuous_base_adversePriceCostUsd,continuous_base_naturalCompletedEpisodes,continuous_base_terminalSales,continuous_base_priorClosePeakToDailyLowDrawdownUsd,continuous_combined_netPnlUsd,continuous_combined_feesUsd,continuous_combined_grossReferenceEdgeUsd,continuous_combined_adversePriceCostUsd,continuous_combined_naturalCompletedEpisodes,continuous_combined_terminalSales,continuous_combined_priorClosePeakToDailyLowDrawdownUsd
BTC/USD,btc_entry_baseline__btc_hold_immediate_v1__btc_thesis_only,btc_entry_baseline,btc_hold_immediate_v1,btc_thesis_only,False,True,-80.92772864642029,88.33515106079903,16.7133902172,105.67655610000001,0.6280148220000299,0,1,322.61568495321626,68.06608095975935,20.68951677824,90.82633989199998,2.0707421539999413,0,1,316.6076036178001,-99.295390006655,15.200246986656001,-83.52384820799989,0.571294812000106,1,0,241.86028096716655,-156.77502482991986,18.41839679792,-136.51340074399994,1.8432272880001574,1,0,274.529379080881,-52.61591741801567,15.576691750016002,-36.45472975,0.584495917999929,0,1,60.8350770525758,-38.800951443899976,19.610056089900006,-17.22947387399993,1.9614214800001808,0,1,47.140890748740276,-39.87301516745538,31.680467057456006,-7.002576237999964,1.1899718719999886,1,1,322.61568495321626,-96.34334523923098,38.91525863623001,-53.53428017499992,3.893806428000209,1,1,348.64686783603065
BTC/USD,btc_entry_baseline__btc_hold_immediate_v1__btc_volatility_trailing,btc_entry_baseline,btc_hold_immediate_v1,btc_volatility_trailing,False,False,-283.4507007028724,25.251247796975804,47.60882397302401,74.64908979899997,1.7890180289999742,2,1,429.09234730747085,-53.23916946630197,58.5695142543,11.189614530999961,5.8592697429998974,2,1,481.5333184126612,-148.66384709462363,62.697194190624,-83.61163095199984,2.3550219520001043,4,0,277.8733956513606,-108.74412189392933,58.907549428930004,-43.94282952600001,5.893742939000002,3,0,233.89009243234977,-52.61591741801567,15.576691750016002,-36.45472975,0.584495917999929,0,1,60.8350770525758,-38.800951443899976,19.610056089900006,-17.22947387399993,1.9614214800001808,0,1,47.140890748740276,-114.71147159763132,78.36345398763201,-33.40465816599995,2.943359444000043,4,1,429.09234730747085,-272.9496589472128,95.64571311221002,-167.73602411899986,9.567921716000358,4,1,481.5333184126612
BTC/USD,btc_entry_baseline__btc_hold_immediate_v1__btc_asymmetric_bracket,btc_entry_baseline,btc_hold_immediate_v1,btc_asymmetric_bracket,False,False,-288.0831406497118,40.07623405918275,63.802929349816,106.27576224399992,2.3965988350000083,3,1,354.29445255028804,-85.87951872243138,97.59844165543001,21.484100413999734,9.765177480999522,4,1,425.15368876495995,-330.36296146950735,124.305468944504,-201.3885717429999,4.668920782000083,8,0,428.7216154362595,-124.3576004527622,98.72189250475999,-15.758763133999906,9.876944814000176,5,0,235.05870641182082,-52.61591741801567,15.576691750016002,-36.45472975,0.584495917999929,0,1,60.8350770525758,-38.800951443899976,19.610056089900006,-17.22947387399993,1.9614214800001808,0,1,47.140890748740276,-306.439535788626,188.07177992362404,-111.30402322199996,7.063732643000025,11,1,452.8827540878101,-254.3397017168336,215.06265153983003,-17.76126701899998,21.515783158000044,10,1,425.15368876495995
BTC/USD,btc_entry_baseline__btc_hold_weekly_persistence_v1__btc_thesis_only,btc_entry_baseline,btc_hold_weekly_persistence_v1,btc_thesis_only,False,False,-80.92772864642029,88.33515106079903,16.7133902172,105.67655610000001,0.6280148220000299,0,1,322.61568495321626,68.06608095975935,20.68951677824,90.82633989199998,2.0707421539999413,0,1,316.6076036178001,-173.86349317990243,14.598891315904002,-158.71608595199996,0.5485159119999734,1,0,327.277496764671,-228.13317390136035,17.69760741336,-208.66451648,1.7710500080000262,1,0,345.9134307736804,-52.61591741801567,15.576691750016002,-36.45472975,0.584495917999929,0,1,60.8350770525758,-38.800951443899976,19.610056089900006,-17.22947387399993,1.9614214800001808,0,1,47.140890748740276,-123.34248523375936,30.893557921760003,-91.28872359400006,1.1602037179998401,1,1,399.12247951907193,-175.77074644112145,37.95348147912001,-134.019749454,3.797515508000061,1,1,428.00777288820063
BTC/USD,btc_entry_baseline__btc_hold_weekly_persistence_v1__btc_volatility_trailing,btc_entry_baseline,btc_hold_weekly_persistence_v1,btc_volatility_trailing,False,False,-283.4507007028724,25.251247796975804,47.60882397302401,74.64908979899997,1.7890180289999742,2,1,429.09234730747085,-53.23916946630197,58.5695142543,11.189614530999961,5.8592697429998974,2,1,481.5333184126612,-193.6365028667842,62.33451148278401,-128.96097695199984,2.3410144320000534,4,0,312.601623656481,-111.54648490088948,58.87924273189,-46.777156426000005,5.890085742999922,3,0,243.92193649118053,-52.61591741801567,15.576691750016002,-36.45472975,0.584495917999929,0,1,60.8350770525758,-38.800951443899976,19.610056089900006,-17.22947387399993,1.9614214800001808,0,1,47.140890748740276,-178.23708198078384,77.74896119478402,-97.56863617099995,2.9194846149999876,4,1,429.09234730747085,-301.1954637921626,95.30368643216,-196.35834597899992,9.533431381000167,4,1,481.5333184126612
BTC/USD,btc_entry_baseline__btc_hold_weekly_persistence_v1__btc_asymmetric_bracket,btc_entry_baseline,btc_hold_weekly_persistence_v1,btc_asymmetric_bracket,False,False,-288.0831406497118,40.07623405918275,63.802929349816,106.27576224399992,2.3965988350000083,3,1,354.29445255028804,-85.87951872243138,97.59844165543001,21.484100413999734,9.765177480999522,4,1,425.15368876495995,-368.21833660217817,124.000183661176,-239.56121265999997,4.656940281000057,8,0,465.2788203436521,-127.17397375756082,98.69344428955999,-18.6072601339999,9.873269334000096,5,0,245.14070425972204,-52.61591741801567,15.576691750016002,-36.45472975,0.584495917999929,0,1,60.8350770525758,-38.800951443899976,19.610056089900006,-17.22947387399993,1.9614214800001808,0,1,47.140890748740276,-344.38858778876966,187.70469824176806,-149.634460321,7.049429225999998,11,1,490.8004514975528,-257.19429821927224,215.02808123027003,-20.654736194999987,21.51148079399996,10,1,425.15368876495995
BTC/USD,btc_entry_baseline__btc_hold_bounded_thesis_v1__btc_thesis_only,btc_entry_baseline,btc_hold_bounded_thesis_v1,btc_thesis_only,False,False,-79.80957563999164,93.86746618435063,48.53160639264801,144.22300160600008,1.8239290290001038,2,1,330.8286474510569,85.99442438290862,40.514250204090004,130.56395624499976,4.0552816579997755,2,0,353.3525150243604,-120.94240746403193,31.003270156032002,-88.77370598799988,1.1654313200001325,2,0,250.60359264988801,-209.62205878079112,37.84464991579,-167.99086287099996,3.7865459940000505,2,0,314.5954471541809,-52.61591741801567,15.576691750016002,-36.45472975,0.584495917999929,0,1,60.8350770525758,-38.800951443899976,19.610056089900006,-17.22947387399993,1.9614214800001808,0,1,47.140890748740276,-19.927475965905614,79.61593626390402,62.67986775100009,2.9914074530000576,4,1,330.8286474510569,-75.45393979588152,98.81582154588001,33.25000735799985,9.8881256079999,4,1,353.3525150243604
BTC/USD,btc_entry_baseline__btc_hold_bounded_thesis_v1__btc_volatility_trailing,btc_entry_baseline,btc_hold_bounded_thesis_v1,btc_volatility_trailing,False,False,-334.64104453550226,-41.19921099414387,63.01252389614402,24.180158581999866,2.366845679999785,3,1,429.09234730747085,-104.42951329893185,77.91705335793002,-18.71724748,7.795212460999929,3,1,481.5333184126612,-148.66384709462363,62.697194190624,-83.61163095199984,2.3550219520001043,4,0,277.8733956513606,-108.74412189392933,58.907549428930004,-43.94282952600001,5.893742939000002,3,0,233.89009243234977,-52.61591741801567,15.576691750016002,-36.45472975,0.584495917999929,0,1,60.8350770525758,-38.800951443899976,19.610056089900006,-17.22947387399993,1.9614214800001808,0,1,47.140890748740276,-176.78700680958354,109.72237633358404,-62.94366244400009,4.12096803199961,6,1,429.09234730747085,-214.68550083259288,136.25831770559,-64.79616905599993,13.631014071000054,6,1,481.5333184126612
BTC/USD,btc_entry_baseline__btc_hold_bounded_thesis_v1__btc_asymmetric_bracket,btc_entry_baseline,btc_hold_bounded_thesis_v1,btc_asymmetric_bracket,False,False,-288.0831406497118,40.07623405918275,63.802929349816,106.27576224399992,2.3965988350000083,3,1,354.29445255028804,-85.87951872243138,97.59844165543001,21.484100413999734,9.765177480999522,4,1,425.15368876495995,-330.36296146950735,124.305468944504,-201.3885717429999,4.668920782000083,8,0,428.7216154362595,-124.3576004527622,98.72189250475999,-15.758763133999906,9.876944814000176,5,0,235.05870641182082,-52.61591741801567,15.576691750016002,-36.45472975,0.584495917999929,0,1,60.8350770525758,-38.800951443899976,19.610056089900006,-17.22947387399993,1.9614214800001808,0,1,47.140890748740276,-306.439535788626,188.07177992362404,-111.30402322199996,7.063732643000025,11,1,452.8827540878101,-254.3397017168336,215.06265153983003,-17.76126701899998,21.515783158000044,10,1,425.15368876495995
BTC/USD,btc_entry_path_efficiency__btc_hold_immediate_v1__btc_thesis_only,btc_entry_path_efficiency,btc_hold_immediate_v1,btc_thesis_only,False,False,28.172417798499737,112.21279388715084,16.905951658848004,129.75425694300003,0.6355113969999695,0,1,139.48126246713582,82.34575839789977,20.8337634521,105.26466868000007,2.0851468300000597,0,1,135.73576419480014,-182.02068912364666,14.533111484648,-166.94144677899993,0.54613086,1,0,219.64665606348717,-214.85633587895973,17.831729502960002,-195.24029344799996,1.7843129280000736,1,0,255.61998960695928,-52.61591741801567,15.576691750016002,-36.45472975,0.584495917999929,0,1,60.8350770525758,-38.800951443899976,19.610056089900006,-17.22947387399993,1.9614214800001808,0,1,47.140890748740276,-17.653836887024227,31.859653785024005,15.402790851000063,1.196973952999929,1,1,321.30333669062384,-83.79493625764917,39.06721748665001,-40.81873490099984,3.908983870000329,1,1,352.7410408676096
